Jaaved Jaaferi
Jabal Thakur
Jacob Thomas
Jada Bharata
Jadhav Jadhav
Jadoo Magic
Jagadish Bose
Jagannath Mishra
Jagat Prakash
Jagdeep Dhankhar
Jagdish Mukhi
Jagjit Singh
Jahanara Begum
Jahangir Khan
Jahnavi Kapoor
Jai Ram
Jaideep Ahlawat
Jaikishan Dayabhai
Jaimini Pathak
Jainendra Kumar
Jaiprakash Narayan
Jairam Ramesh
Jaisal Singh
Jaishankar Prasad
Jalabala Vaidya
Jalaluddin Akbar
Jallianwala Bagh
Jamini Roy
Jamna Das
Janaki Ammal
Janardhan Dwivedi
Janhvi Kapoor
Janki Dass
Jannat Zubair
Jaspal Bhatti
Jasprit Bumrah
Jatin Das
Javed Akhtar
Jawahar Lal
Jaya Bachchan
Jayant Narlikar
Jayaprakash Narayan
Jayashree Ramaiah
Jayalalithaa Jayaram
Jeetendra Kapoor
Jeeva Nandan
Jhalak Dikhhla
Jhansi Rani
Jia Mustafa
Jibananda Das
Jigar Moradabadi
Jignesh Mevani
Jilani Bano
Jim Sarbh
Jimmy Sheirgill
Jina Nandi
Jisshu Sengupta
Jiten Lalwani
Jitendra Kumar
Jiya Shankar
Joginder Sharma
Johar Mehmood
John Abraham
Jolyon Palmer
Joseph Vijay
Joshi Math
Joy Mukherjee
Jubin Nautiyal
Jugal Hansraj
Juhi Chawla
Junaid Khan
Jwala Gutta
Jyoti Basu
Jyotiraditya Scindia
Jyotika Sadanah
Kabir Bedi
Kadambari Kadam
Kadian Singh
Kailash Kher
Kaifi Azmi
Kajal Aggarwal
Kajol Mukherjee
Kakoli Ghosh
Kala Chana
Kalabhavan Mani
Kalpana Chawla
Kalyan Singh
Kamal Haasan
Kamalinee Mukherjee
Kamini Kaushal
Kamlesh Tiwari
Kamya Panjabi
Kanika Kapoor
Kanishka Sharma
Kannan Iyer
Kanu Sanyal
Kapil Dev
Kareena Kapoor
Karisma Kapoor
Karthik Aryan
Karuna Banerjee
Kashmira Shah
Kasturba Gandhi
Katrina Kaif
Kaushal Raj
Kautilya Pandit
Kavita Krishnamurthy
Kavya Madhavan
Kedar Jadhav
Keerthy Suresh
Keshubhai Patel
Ketan Mehta
Keval Kishan
Khayyam Hashmi
Khesari Lal
Khushboo Sundar
Khushwant Singh
Kiara Advani
Kiku Sharda
Kiran Bedi
Kirti Kulhari
Kishor Kumar
Kitu Gidwani
Kochadaiiyaan Raj
Koena Mitra
Kokila Modi
Komal Nahta
Konkona Sen
Koushik Sen
Kripa Shankar
Krishan Kant
Krishna Raj
Kriti Sanon
Krunal Pandya
Kshiti Goswami
Kubbra Sait
Kulbhushan Kharbanda
Kuldeep Yadav
Kumar Sanu
Kumkum Bhagya
Kunal Khemu
Kunj Anand
Kusha Kapila
Kusumagraj Shirwadkar
Laba Ram
Lachhu Maharaj
Lagaan Bhuvan
Lahari Shari
Lajpat Rai
Lakhan Lal
Lakhwinder Wadali
Lakshman Jhula
Lakshmi Mittal
Lal Bahadur
Lalan Fakir
Lalit Modi
Lallan Singh
Lalu Prasad
Lata Mangeshkar
Latha Rajinikanth
Lavanya Tripathi
Laxman Narasimhan
Laxmi Kant
Leander Paes
Leela Naidu
Lekh Tandon
Lilaram Sindhi
Lilette Dubey
Lokesh Kanagaraj
Lokmanya Tilak
Lopa Mudra
Luv Sinha
Lyla Roy
Maanvi Gagroo
Madan Lal
Madhavrao Scindia
Madhubala Begum
Madhuri Dixit
Madhusudan Das
Maganti Babu
Mahaakshay Chakraborty
Mahabali Shera
Mahalakshmi Iyer
Mahant Swami
Maharaja Ranjit
Maharana Pratap
Mahasweta Devi
Mahavir Phogat
Mahendra Dhoni
Mahesh Bhatt
Mahima Chaudhry
Mahmoud Ali
Mahrush Khan
Maithili Sharan
Maitreyi Ramakrishnan
Makarand Deshpande
Malaika Arora
Malavika Mohanan
Malini Awasthi
Mallikarjun Kharge
Mammootty Kutty
Mamata Banerjee
Manav Kaul
Mandeep Singh
Mandira Bedi
Mangal Pandey
Mangesh Tendulkar
Manikrao Hodlya
Manish Malhotra
Manisha Koirala
Manjari Fadnis
Manjeet Chhillar
Manmohan Singh
Manoj Bajpayee
Mansoor Ali
Manu Bhaker
Manya Singh
Maria Goretti
Marimuthu Yoganathan
Mary Kom
Masaba Gupta
Master Saleem
Matheran Hill
Mausami Chatterjee
Mayank Agarwal
Mayawati Das
Meena Kumari
Meenakshi Seshadri
Meer Ali
Megha Akash
Meghnad Saha
Mehmood Ali
Meiyang Chang
Milind Soman
Minissha Lamba
Mira Rajput
Mitali Mayekar
Mithali Raj
Mithun Chakraborty
Mohnish Bahl
Mohsin Khan
Monali Thakur
Monica Bedi
Monikangana Dutta
Morarji Desai
Mouni Roy
Mrinal Sen
Mrunal Thakur
Mubashir Hasan
Muhammad Yunus
