Mukesh Ambani
Mukul Kesavan
Mukulika Banerjee
Mumaith Khan
Munawar Faruqui
Munmun Dutta
Murad Ali
Murali Kartik
Murlikant Petkar
Mursaleen Khan
Murugan Ashwin
Mushtaq Ali
Mythili Raj
Naagin Shivangi
Naba Kishore
Nabarun Bhattacharya
Nachiketa Ghosh
Nadira Babbar
Naga Chaitanya
Nagarjuna Akkineni
Naghma Arvind
Naila Grewal
Naimisharanya Muni
Naina Lal
Nakash Aziz
Nalinidhar Bhattacharya
Namit Das
Namrata Shirodkar
Nana Patekar
Nandamuri Taraka
Nandita Das
Nani Ghanta
Nargis Fakhri
Narhari Amin
Nariman Point
Narmada Bachao
Narottama Dasa
Naseeruddin Shah
Nashik Grape
Natarajan Chandrasekaran
Natha Singh
Navadeep Reddy
Navaneethakrishnan Swamy
Navjot Sidhu
Nawazuddin Siddiqui
Nayan Chanda
Nayanthara Kurian
Neelesh Misra
Mudassar Aziz
Mugdha Godse
Neena Gupta
Neeraj Chopra
Neet Mahal
Neetu Singh
Neha Kakkar
Neil Nitin
Nidhi Razdan
Niharika Konidela
Nikhila Vimal
Niladri Kumar
Nimrat Kaur
Ninad Kamat
Nirav Modi
Nirmal Purja
Nirmala Sitharaman
Nishant Bhat
Nithya Menen
Nitin Gadkari
Nivedita Basu
Niveditha Arjun
Nivin Pauly
Niyati Fatnani
Nora Fatehi
Nripendra Misra
Nushrratt Bharuccha
Nutan Samarth
Ojaswi Oberoi
Om Puri
Omair Tariq
Omar Abdullah
Omprakash Mishra
Onkar Nath
Oommen Chandy
Oviya Helen
Paan Singh
Paresh Rawal
Parineeti Chopra
Parth Samthaan
Parvathy Thiruvothu
Pashmina Roshan
Patal Bhuvaneshwar
Patralekha Paul
Paurashpur Singh
Pavan Kalyan
Payal Rohatgi
Peeyush Goyal
Phoolan Devi
Pinaki Misra
Piyush Mishra
Pooja Hegde
Poonam Pandey
Prabhas Raju
Prabhu Deva
Prachi Desai
Pradeep Kumar
Prajakta Koli
Prakash Raj
Pran Krishan
Pranab Mukherjee
Prateik Babbar
Pratibha Patil
Prem Chopra
Prithviraj Sukumaran
Priya Prakash
Priyanka Chopra
Puneeth Rajkumar
Punit Pathak
Purab Kohli
Pushpa Kamal
Qasim Ali
Quratulain Balouch
Qutub Minar
Raashi Khanna
Rabindranath Tagore
Rachita Ram
Radhika Apte
Raghav Juyal
Raghuram Rajan
Rahat Fateh
Rahul Dravid
Raima Sen
Raj Kundra
Rajkummar Rao
Rajinikanth Shivaji
Rajiv Gandhi
Rakhi Sawant
Rakul Preet
Ram Charan
Ramakrishna Paramahamsa
Ramanand Sagar
Ramesh Sippy
Ramya Krishnan
Ranbir Kapoor
Randeep Hooda
Rani Mukerji
Ranveer Singh
Rashmika Mandanna
Ratan Tata
Ratna Pathak
Raveena Tandon
Ravi Shastri
Rekha Ganesan
Remya Nambeesan
Renuka Shahane
Resul Pookutty
Rhea Chakraborty
Richa Chadha
Rishi Kapoor
Riteish Deshmukh
Ritika Singh
Riya Sen
Rohan Bopanna
Rohini Hattangadi
Rohit Sharma
Roja Selvamani
Ronit Roy
Roshan Seth
Rubina Dilaik
Rucha Hasabnis
Rumi Jafry
Rupali Ganguly
Rupam Islam
Rüşdü Reçber
Sabyasachi Mukherjee
Sachin Tendulkar
Sadashiv Amrapurkar
Sadhana Shivdasani
Sagarika Ghatge
Sahil Vaid
Saif Ali
Sakshi Dhoni
Salman Khan
Samantha Ruth
Sameera Reddy
Sana Khan
Sanath Jayasuriya
Sanjay Dutt
Sanjeev Kumar
Sanya Malhotra
Sara Ali
Saroj Khan
Sathyaraj Rangaraj
Satish Kaushik
Saurabh Shukla
Savitri Ganesan
Sayani Gupta
Shabana Azmi
Shah Rukh
Shahid Kapoor
Shammi Kapoor
Shankar Mahadevan
Sharad Pawar
Sharmila Tagore
Shekhar Kapur
Shilpa Shetty
Shivali Rajput
Shobha De
Shraddha Kapoor
Shreya Ghoshal
Shruti Haasan
Siddharth Nigam
Sidharth Malhotra
Silk Smitha
Simi Garewal
Smita Patil
Smriti Irani
Soha Ali
Sonakshi Sinha
Sonam Kapoor
Sonu Nigam
Sridevi Kapoor
Subhash Ghai
Sudhir Mishra
Suhana Khan
Suhasini Maniratnam
Sumit Nagal
Sunil Chhetri
Sunny Deol
Sunidhi Chauhan
Suriya Sivakumar
Sushant Rajput
Sushmita Sen
Swara Bhasker
Taapsee Pannu
Tabu Hashmi
Tamannaah Bhatia
Tanuja Samarth
Tara Sutaria
Tiger Shroff
Tisca Chopra
Trisha Krishnan
Twinkle Khanna
Udit Narayan
Urmila Matondkar
Urvashi Rautela
Vaani Kapoor
Varun Dhawan
Vidya Balan
Virat Kohli
Yami Gautam
